filepath,relative_path,device_type,damage_status,top_level_folder,has_damage_label,has_device_type_label,device_type_label_source,is_defect_folder,is_standard_device_image,is_defect_challenge,is_augmented,source_relative_path
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\1.png,device 2/1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\1_1.png,device 2/1_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/1_1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\2.png,device 2/2.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/2.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\2_1.png,device 2/2_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/2_1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\3.png,device 2/3.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/3.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device 2\3_1.png,device 2/3_1.png,device 2,Not-Damaged,device 2,True,True,folder-or-metadata,False,True,False,False,device 2/3_1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\1.png,device1/1.png,device1,Not-Damaged,device1,True,True,folder-or-metadata,False,True,False,False,device1/1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\2.png,device1/2.png,device1,Not-Damaged,device1,True,True,folder-or-metadata,False,True,False,False,device1/2.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\1_aug_001.jpg,device1/1_aug_001.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\2_aug_002.jpg,device1/2_aug_002.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\1_aug_003.jpg,device1/1_aug_003.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\device1\2_aug_004.jpg,device1/2_aug_004.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\1_Defect(1).png,Defect/1_Defect(1).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(1).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\1_Defect(2).png,Defect/1_Defect(2).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(2).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\1_Defect(3).png,Defect/1_Defect(3).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(3).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\1_Defect(4).png,Defect/1_Defect(4).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(4).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\1_Defect.png,Defect/1_Defect.png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_1.jpg,Defect/2_1.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_1.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_10.jpg,Defect/2_10.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_10.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_2.jpg,Defect/2_2.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_2_Defect(1).png,Defect/2_2_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(1).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_2_Defect(2).png,Defect/2_2_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(2).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_2_Defect(3).png,Defect/2_2_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(3).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_2_Defect.png,Defect/2_2_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_3.jpg,Defect/2_3.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_3_Defect(1).png,Defect/2_3_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(1).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_3_Defect(2).png,Defect/2_3_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(2).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_3_Defect(3).png,Defect/2_3_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(3).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_3_Defect.png,Defect/2_3_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect.png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_4.jpg,Defect/2_4.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_4.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_5.jpg,Defect/2_5.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_5.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_6.jpg,Defect/2_6.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_6.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_7.jpg,Defect/2_7.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_7.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_8.jpg,Defect/2_8.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_8.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_9.jpg,Defect/2_9.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_9.jpg
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_Defect(1).png,Defect/2_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(1).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_Defect(2).png,Defect/2_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(2).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_Defect(3).png,Defect/2_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(3).png
C:\Users\k-12outreach\Summer Workshop Carina\Summer_Workshop_Carina\Augmented_Device_Images\Defect\2_Defect.png,Defect/2_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect.png
